,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100
0,-4.4191027,-0.9247686,-3.1869829,1.4251071,3.0555592,1.0932071,0.5237934,-1.5093905,3.1301236,1.5616715,-0.85555047,0.4548748,-0.6375299,-0.06413537,-3.3657882,6.507152,-5.3834205,-4.827166,4.1374593,-0.45105976,4.850679,-5.0755453,-0.6943842,-3.0657074,-1.45403,2.4557106,5.3605995,1.0225252,-2.7376518,-4.6967177,3.2119927,2.9313269,-0.9418844,6.5187497,2.4725728,-0.9942559,3.9624298,-2.646405,3.7286477,1.5609403,-6.0459676,6.5077057,2.4523404,-2.0325866,4.1189175,-0.5635404,2.5261536,0.99828094,2.3352578,2.7270336,-4.5186377,2.0187025,1.0938449,2.4059732,2.640656,-3.038494,3.0909922,4.870709,-2.8722703,0.39545736,0.23295026,-0.6846157,-0.1666683,0.083835065,0.1552932,-0.22556408,-0.023321625,0.058661733,-0.05841195,0.021456584,0.05933951,0.09775833,-0.13007247,0.07228627,-0.0134434765,0.022850512,-0.010724472,0.02646601,0.033136647,0.059545685,0.051810734,-0.0047763716,0.033472896,0.022169027,-0.003623358,0.019324204,0.01507139,-0.036241032,-0.03267624,0.025080537,0.011931564,-0.017571514,0.0038764917,-0.028967284,-0.0030507513,-0.0015213279,-0.001448455,0.0067792223,-0.0015212488,-0.0077399155
1,-4.5301085,-6.1813936,-6.470214,-2.9219885,9.565556,-7.604668,1.2804465,2.7305524,-2.380142,1.7937886,3.6129007,1.7638526,-4.724316,-2.0582967,1.3623806,-1.2821192,0.51278704,-3.6392157,-0.9803285,-4.7006454,4.1970944,3.1113415,0.5875505,1.4548838,-3.5171802,-1.3782156,0.35835174,-3.8423789,-1.3078066,-5.851807,0.7076593,0.9549557,-3.027499,3.534324,-0.04790668,-0.19206597,2.239417,-2.2754657,0.667931,-0.19958179,-2.7364972,3.9372387,2.159196,-0.31145495,1.9490616,-0.081462905,-0.45604745,1.8168205,0.2758675,2.0059836,-1.4995369,0.81639755,2.5220506,0.6750112,-0.5647581,-1.1490811,-0.5950392,-1.7905991,5.2393208,0.62388927,0.450893,4.1664352,1.1458193,0.14947139,-0.108075276,0.6730398,0.20744178,-0.30849198,0.40748176,0.20292918,-0.025271213,-0.05717983,0.080479935,-0.1253452,0.02866187,0.063798234,0.06605314,-0.105141155,0.0032458773,-0.10703276,-0.003219086,-0.03719517,-0.042061783,-0.05607363,0.058012065,0.0024721557,-0.04082917,0.036643464,0.0036368424,-0.030290227,0.001228745,-0.0026045917,-0.005817584,-0.027542382,0.037707202,0.01806952,0.0059327576,0.020460522,0.0004325466,0.008293069
2,2.8931937,-5.202914,0.7560438,-9.88565,4.89792,-4.5955615,-0.13566008,-6.4280424,2.696018,6.401383,12.76796,2.9329846,-5.105507,3.2352598,0.9605128,1.5552697,-1.1974483,-5.9116263,0.4719358,-0.8399369,-0.8650096,3.5450833,-2.9988203,-3.7714777,-0.62381285,1.2144936,-0.7150851,0.31322357,0.800087,-1.6089346,1.0558026,-0.47792605,-3.1774316,2.8973649,2.9675467,1.310384,3.5626519,-0.36316773,0.5252858,-0.6144565,-2.1832404,2.490333,1.5100086,0.90919566,0.57149917,-0.63013047,-0.56657976,1.2318568,-1.0163437,0.4835589,-0.94730777,0.17649193,0.7576767,0.86303383,-0.6657869,-0.3088256,-1.8026733,-2.3531535,3.2940466,-1.0684712,-1.6562127,-3.7716312,-2.718487,-0.30446032,-1.1953562,0.5782307,-0.253296,-0.26552847,-0.34507465,-0.33118114,-0.25556216,-0.0015767684,0.05779962,0.04569333,0.0010868119,-0.00042046598,0.1090058,0.08330008,-0.11187519,-0.045335643,0.022494284,0.08919581,-0.03749116,0.07955933,-0.053745657,-0.013132077,-0.025268119,0.008340458,0.017261675,0.023514958,-0.048141025,-0.0062158094,-0.0017649542,0.023863995,0.03588313,-0.02977298,-0.003669912,-0.04232616,0.002069442,0.02215275
3,-0.5006486,-6.299677,-4.0192566,2.6822443,8.72452,-7.7867856,3.7688653,2.8875422,-1.7034581,-0.7945108,6.893617,-3.760705,-3.169961,-3.770087,2.4371352,4.929618,-5.119834,0.47809044,0.09563029,0.7733767,2.0668488,0.5978872,2.0455616,2.1285782,0.8018216,-3.7983105,1.9696754,-3.1866598,-5.1217804,1.187051,5.2608557,-3.8252275,-1.1397531,-0.5760362,11.255978,-0.22150972,5.536241,-0.7889912,-1.3362876,-0.75028384,2.1608162,-0.37202057,-0.3633691,2.6370444,-1.5478928,-0.6294132,-0.47306538,2.4668722,-0.31221786,2.2575114,1.8248646,-2.2541986,0.15760073,-1.0464069,2.1896627,0.37698874,-0.05120399,-1.4808652,-0.32282865,-0.8640106,0.66753453,-1.0866953,1.5131568,-2.3523023,2.141521,-0.77776617,0.6565899,0.36461034,-0.5492415,0.2763343,-0.18143928,-0.06510309,0.41189402,0.10568439,-0.04328694,0.12377832,-0.020179754,-0.022038097,-0.089941785,0.035609648,-0.23912871,0.08643268,0.0037602228,-0.100774065,0.004903297,-0.0009407148,0.07278111,-0.04424832,0.023991678,-0.037764877,0.06584699,-0.000107615175,0.014517709,0.0237707,0.023896957,-0.050546665,0.02623141,0.0016738212,-0.011252257,0.049170714
4,-0.5429461,-6.359724,-0.9410192,-3.1707375,6.6780825,2.932669,10.607285,5.0601697,-6.822563,-0.8175944,6.0922422,-4.1232224,0.46005693,0.39873606,-3.9852157,0.48157194,-1.7953796,-4.445244,3.0889935,-4.4147706,-5.1530843,-3.404218,1.4538383,-0.8443133,-2.495654,1.5488201,1.9736916,-1.5986035,2.4042478,-0.786551,0.014846855,1.9937116,-3.44513,2.184232,2.909835,-0.56318235,1.7684399,-0.26184136,0.2821013,-1.1161382,0.5824428,2.132971,2.4450364,-0.21736877,-0.06548938,0.21810886,-1.7916768,0.6683228,-0.5398458,1.3940716,0.9581938,-0.28593507,-0.60307914,-0.24664432,-0.7566163,0.784749,-1.781702,-3.8476686,-1.762583,-1.1382077,0.0057441136,-0.341141,0.8807608,3.6113634,0.6542319,-1.7231058,-0.3049004,0.4941627,0.05779923,-0.47719198,0.5345448,0.2204878,-0.54907477,-0.25450987,-0.12238943,-0.33938974,-0.03211065,-0.041178342,0.10222127,0.061956316,0.11500871,-0.062442437,-0.093078226,0.030164152,0.08715741,0.006000595,0.019947167,-0.010857618,-0.10117514,0.08996619,-0.0009777944,-0.0024235875,-0.03625282,0.002660745,-0.022933312,0.017252581,-0.111971,-0.019037243,0.0013856196,-0.017168695
5,0.7080221,-8.121555,-1.3860519,5.279953,0.45197278,-6.8333416,9.645886,1.7878761,7.0567203,2.148625,4.1091995,2.7307394,-3.221952,0.92192215,1.9809061,9.970206,-0.6367055,4.3474455,1.3621963,-3.1248858,-1.7073008,5.8954268,-0.39684752,-1.8840866,-0.57064396,1.4750496,0.317716,0.1979521,-2.7955742,0.39307213,2.174272,2.8789985,-3.634127,2.288408,0.28537497,0.8125287,0.05069764,-0.20833701,0.5032824,-1.195038,-0.024452908,1.1145403,1.5927069,0.8009047,-1.4657112,0.84380156,-0.17335507,0.32935536,-0.13900167,-0.76086396,0.85814196,0.23175505,-1.1694773,-0.8255344,-1.1732033,0.72023153,-1.5784131,-2.1941156,-3.3898735,0.1492296,2.5621657,0.66603565,-0.39129463,-1.5111619,-1.9696547,-0.41650167,-0.9993459,-0.67594546,2.0614698,-0.036305133,-0.10659233,0.19242822,0.24851996,0.093792565,0.10447998,0.12440366,-0.042233407,-0.10878046,-0.109443985,-0.03723041,0.16530508,0.038004108,-0.016838133,-0.006078309,-0.116754174,-0.037532616,0.017466659,0.054338247,0.01075472,-0.109842256,0.025086734,0.024692265,-0.1139516,0.020183627,-0.10433749,0.051937833,-0.015634745,0.033777416,0.010665416,0.014888458
6,-3.5325294,-3.8570511,5.2550645,1.7435356,8.239439,3.5190356,7.411164,-1.5326356,5.903223,2.888128,6.9205966,-1.0587823,-2.5399585,0.10632264,3.720346,2.1313498,2.6298826,-1.1795564,2.0347266,5.01135,-1.7647061,0.29848886,1.7158089,4.8003263,0.1655826,-2.5508091,-5.796116,-3.646606,-0.389225,-0.1452889,2.2350786,-0.50031966,0.049155362,2.8109436,-0.1898342,1.599839,1.0834272,2.9659834,1.3726465,-0.2128191,-0.5292072,0.9368085,1.8870798,-0.80031675,-0.953958,0.87356603,-2.3910115,0.41431972,0.19857313,0.56969804,0.3572728,0.6485368,-0.8752224,-0.69678193,-1.4809806,-0.2868247,-0.5400466,-1.9440309,-3.8034894,0.16125423,-0.026657633,0.98685694,-0.048524167,0.42961726,-0.28317124,3.1493535,0.7130826,-0.047695134,-1.6864393,0.3395258,-0.11540077,-0.19649264,-0.24144465,0.3992814,0.07225692,0.059436027,-0.11865655,0.35531965,0.1973362,0.0080603175,-0.069325455,-0.08278225,0.1728094,0.03353816,0.10474976,0.047611844,-0.03721121,-0.005812614,0.100655444,-0.033891164,0.023453813,-0.06646097,0.0672714,0.0450934,0.06548192,0.013132045,0.015904943,-0.024901142,-0.058591988,-0.0027076893
7,-5.1324735,-12.032003,-1.801563,-4.4971695,1.1812203,1.5858926,10.748097,-6.4435854,3.5905135,-0.5361582,-3.9765954,2.9845176,-4.0497255,-0.5826204,0.8180188,-1.0039833,-1.8177059,-2.8295233,-2.351973,-3.5033684,-0.19476652,0.56244093,-0.64303297,-0.8069724,-1.6806728,0.5740429,-1.5383602,-1.3228911,-3.5016818,1.0721627,1.8421134,0.2905959,1.6828691,1.1660024,0.9339698,0.11655811,1.1030794,1.6460661,0.26720083,0.1981596,-0.62026286,-0.7367058,-0.0049481113,-0.7848013,-0.5468737,0.5425454,-0.9548002,-0.5069477,0.17585602,-1.0743777,1.1812109,-0.11507557,-1.0934141,-0.28706303,-0.77887404,1.0361385,-0.2553163,-0.22658157,-1.3354605,1.6001748,-1.8643059,1.6549301,-1.7285562,-0.49794042,0.35912043,-0.7034611,0.023398992,0.5559275,-0.2390221,-0.23996438,0.2774043,-0.25787592,-0.23713565,-0.08588106,-0.004336463,0.22176942,0.09263865,-0.12618881,0.1003479,-0.18620467,-0.10227204,0.033448815,0.05096956,0.09382456,-0.033020217,-0.022469386,0.06729102,0.0021401213,-0.17186451,0.39326954,-0.25336924,0.2606953,0.16558221,-0.103553236,0.02126043,-0.27659696,0.17787354,0.17444184,0.080554746,-0.14951088
8,-5.304377,-11.76294,-1.5465443,-4.537769,0.9872932,1.5896908,10.851379,-6.030555,3.4997194,-0.5455793,-4.383968,2.7333038,-4.0838146,-0.28581193,0.3978948,-0.8142483,-1.5587398,-2.7714837,-2.6137023,-3.3028092,-0.41759863,0.91629905,-0.68098825,-0.58379495,-1.9985763,1.0636184,-1.5658743,-1.3570937,-3.4046278,1.0883983,1.9688804,0.08082341,2.4946024,1.6088725,0.6624727,0.37021512,0.66307247,1.671354,0.154437,0.23346947,-0.32602885,-1.2007785,-0.7240442,-1.092418,-0.678641,0.06654604,-0.7028561,-0.7659499,0.07534332,-1.3099128,0.93295866,-0.40485114,-1.0782212,-0.17972237,-0.7525375,0.9913813,-0.09825322,1.330934,0.09650734,1.894938,-2.4130933,1.4110192,-2.0317848,-0.54396635,0.5024601,-1.5815521,0.18946737,0.7238683,-0.16358711,0.33714497,-0.042434018,-0.042561468,0.066903494,0.099069715,0.038344014,-0.22304112,0.01821652,-0.048559234,-0.03274006,0.07044488,0.08453622,-0.12096258,-0.05613196,-0.16862866,0.043407355,0.021225708,-0.050847266,0.028899059,0.15226495,-0.22727358,0.1897141,-0.19711058,-0.19079736,0.07088852,-0.053873535,0.3058971,-0.102695055,-0.13679777,-0.09992697,0.12572199
9,17.567776,-3.149305,-1.974854,4.876461,4.6134844,-0.024073541,6.16712,-1.4649774,-0.79268366,0.9014208,1.2124625,2.83285,-3.607258,-2.035358,2.7992275,4.218818,1.2544671,-3.3371103,-0.35837,-2.8407316,2.4433439,-0.21837093,-0.19646242,-0.6301154,0.09068451,1.7777461,-2.5612352,-1.7486515,-1.1292402,-1.9231547,1.1420083,0.72746605,0.773237,1.9137375,0.7796884,0.2872905,-0.16923304,2.4550173,0.5211284,0.6912162,0.09996938,-1.081023,0.11125746,0.036773775,-0.5253056,-1.01435,-0.79098266,-0.7227747,-1.6158338,-1.7228048,-0.38212767,0.4902193,-2.061064,-0.9491879,-1.6308777,0.42647472,-0.8761227,2.479512,0.4449903,1.326761,-2.2457108,-0.71479297,3.548168,-0.65210515,-1.576739,-0.59793603,-1.2262474,-0.9310552,-1.1711657,-0.35586897,-0.07128752,-0.10774223,-0.38459775,-0.4597294,-0.2967544,-0.35922244,0.087542735,0.031537786,-0.06460071,0.2754917,0.041499823,0.0028409688,0.019053666,0.07598045,0.07827697,0.016894808,-0.12793541,-0.076387875,0.031164367,-0.14551662,0.05878451,0.026214324,0.02633315,0.02026386,-0.039774183,-0.061537664,0.04503627,-0.030609602,0.08362192,0.014143749
